date,close,volume,open,high,low
9/21/2015,264.2,6114615,263.98,271.57,255.8
9/18/2015,260.62,3760644,257.96,263.82,257.5
9/17/2015,262.07,3575221,263.96,265.5,260.69
9/16/2015,262.25,4405706,253.04,262.88,252.88
9/15/2015,253.57,2931607,252.75,254.6,249.5
9/14/2015,253.19,2885610,251.1,254.25,249.67
9/11/2015,250.24,2346802,247.64,250.24,244.73
9/10/2015,248.48,2706874,247.23,250.7231,245.33
9/9/2015,248.91,3384981,252.05,254.25,248.303
9/8/2015,248.17,3129871,245.05,249.16,244.05
9/4/2015,241.93,3687456,240.89,244.09,238.2
9/3/2015,245.57,4184808,252.06,252.08,245
9/2/2015,247.69,4590857,245.3,247.88,239.78
9/1/2015,238.63,5443901,240.34,246,236.97
8/31/2015,249.06,4688373,245.62,254.95,245.51
8/28/2015,248.48,5507336,241.86,251.45,241.57
8/27/2015,242.99,7645773,231,244.75,230.81
8/26/2015,224.84,4951300,227.93,228,215.51
8/25/2015,220.03,4313679,230.52,230.9,219.12
8/24/2015,218.87,9562484,202.79,231.4,195
8/21/2015,230.77,6578435,236,243.7999,230.51
8/20/2015,242.18,4892170,252.06,254.56,241.9
8/19/2015,255.25,3598937,260.33,260.65,255.02
8/18/2015,260.72,4186051,255.38,260.95,253.5601
8/17/2015,254.99,7168396,255.56,256.59,250.51
8/14/2015,243.15,4360693,247.24,247.93,241.77
8/13/2015,242.51,4683330,239.86,246.48,239.12
8/12/2015,238.17,3730138,235,239.77,232.74
8/11/2015,237.37,4260892,237.15,239.3,234.44
8/10/2015,241.14,4179307,238.15,242.97,236.05
8/7/2015,242.51,5069602,243.58,243.73,238.39
8/6/2015,246.13,14617820,249.54,255,236.12
8/5/2015,270.13,5969245,263.58,271,260.4
8/4/2015,266.28,2336152,260.01,266.72,258.34
8/3/2015,259.99,2547164,266.29,266.7099,257.07
7/31/2015,266.15,2218004,267.6,269.3599,265.123
7/30/2015,266.79,2030605,262.69,266.94,262.11
7/29/2015,263.82,2782886,264.27,267.89,262
7/28/2015,264.82,3879330,255.75,265.4,251.8373
7/27/2015,253.01,4688874,262.43,264.4321,250.79
7/24/2015,265.41,2834521,267.38,271.09,263.92
7/23/2015,267.2,2222481,269.65,269.9,265.27
7/22/2015,267.87,3097326,261.27,269.44,260.86
7/21/2015,266.77,6091632,270.05,273.5,266.55
7/20/2015,282.26,4969754,275,286.65,272.54
7/17/2015,274.66,4996689,272.5,275.54,268.25
7/16/2015,266.68,1598253,264.22,267.2,263.16
7/15/2015,263.14,2006860,266.74,267.49,262.08
7/14/2015,265.65,1905569,262.1,265.9899,260.51
7/13/2015,262.16,2951397,262.25,262.55,256.05
7/10/2015,259.15,2605215,262.22,263,257.82
7/9/2015,257.92,3329764,259.08,262.95,256.79
7/8/2015,254.96,6212610,259.32,260.8,254.31
7/7/2015,267.88,6096385,275,275.2,260.77
7/6/2015,279.72,4109259,278.88,281.69,276.3
7/2/2015,280.02,7155585,280.195,282.45,273.31
7/1/2015,269.15,2100019,271.11,272.62,267.8503
6/30/2015,268.26,3084435,264.8,270.92,264
6/29/2015,262.02,3471452,261.95,265.95,260.7
6/26/2015,267.09,3829660,268.89,269.11,266
6/25/2015,268.79,2844993,266.45,271.41,265.25
6/24/2015,265.17,2411492,266.98,267.35,263.72
6/23/2015,267.67,3864602,260.32,268,258.57
6/22/2015,259.79,4559072,262.15,264.4,255.69
